word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
candor,0,0,0,,,,,0,2.5,1,0
complacent,0,0,0,,,,,0,2.5,1,0
cursory,0,0,0,,,,,0,2.5,1,0
eschew,1750712678486,1,1,,,,,0,2.5,1,0
austere,0,0,0,,,,,0,2.5,1,0
conundrum,0,0,0,,,,,0,2.5,1,0
acumen,1750712678486,1,1,,,,,0,2.5,1,0
copious,0,0,0,,,,,0,2.5,1,0
precocious,0,0,0,,,,,0,2.5,1,0
capitulate,0,0,0,,,,,0,2.5,1,0
cacophony,0,0,0,,,,,0,2.5,1,0
bolster,0,0,0,,,,,0,2.5,1,0
