word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
cacophony,0,0,0,,,,,0,2.5,1,0
admonish,0,0,0,,,,,0,2.5,1,0
cursory,0,0,0,,,,,0,2.5,1,0
conciliatory,0,0,0,,,,,0,2.5,1,0
circumspect,0,0,0,,,,,0,2.5,1,0
benevolent,0,0,0,,,,,0,2.5,1,0
acumen,0,0,0,,,,,0,2.5,1,0
candor,0,0,0,,,,,0,2.5,1,0
ennui,0,0,0,,,,,0,2.5,1,0
complacent,0,0,0,,,,,0,2.5,1,0
deleterious,0,0,0,,,,,0,2.5,1,0
garrulous,0,0,0,,,,,0,2.5,1,0
