word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
garrulous,1750772505556,2,2,,,,,0,2.5,1,0
circumspect,1750773320203,2,2,,,,,0,2.5,1,0
cajole,1750772638547,2,2,,,,,0,2.5,1,0
bolster,1750772576274,1,1,,,,,0,2.5,1,0
deleterious,1750773421079,1,1,,,,,0,2.5,1,0
abstruse,1750773458133,2,2,,,,,0,2.5,1,0
cursory,1750773374316,2,2,,,,,0,2.5,1,0
disparage,1750772679038,1,1,,,,,0,2.5,1,0
perfunctory,0,0,0,,,,,0,2.5,1,0
candor,0,0,0,,,,,0,2.5,1,0
