word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
circumspect,1750801831504,0,1,,,,,0,2.5,1,0
candor,1750802132801,1,2,,,,,0,2.5,1,0
capricious,0,0,0,,,,,0,2.5,1,0
quandary,0,0,0,,,,,0,2.5,1,0
cacophony,1750800367543,1,1,,,,,0,2.5,1,0
conciliatory,1750801900500,1,1,,,,,0,2.5,1,0
ephemeral,0,0,0,,,,,0,2.5,1,0
perfunctory,0,0,0,,,,,0,2.5,1,0
disparage,1750800509061,1,1,,,,,0,2.5,1,0
garrulous,0,0,0,,,,,0,2.5,1,0
